Filename,(Grammar,Spelling),Word Count,Average Sentence Length,Function Word Count,FWratio
CHN_SMK_343_B1_1.txt,(0, 0),201,18,85,0.422885572139
CHN_SMK_344_B1_2.txt,(0, 2),248,19,100,0.403225806452
CHN_SMK_345_B1_2.txt,(1, 5),257,18,106,0.412451361868
CHN_SMK_346_B1_1.txt,(0, 6),297,14,117,0.393939393939
CHN_SMK_347_B1_2.txt,(3, 0),220,12,74,0.336363636364
CHN_SMK_348_B1_2.txt,(1, 1),204,18,75,0.367647058824
CHN_SMK_349_B1_2.txt,(0, 10),316,13,124,0.392405063291
CHN_SMK_350_B1_2.txt,(0, 1),232,14,89,0.383620689655
CHN_SMK_351_B1_1.txt,(0, 0),222,13,86,0.387387387387
CHN_SMK_352_B1_1.txt,(0, 0),227,13,79,0.348017621145
CHN_SMK_353_B2_0.txt,(0, 2),225,15,85,0.377777777778
CHN_SMK_354_B1_1.txt,(0, 0),226,11,79,0.349557522124
CHN_SMK_355_B1_2.txt,(0, 1),203,16,87,0.428571428571
CHN_SMK_356_B1_2.txt,(3, 12),262,10,95,0.362595419847
CHN_SMK_357_B1_2.txt,(1, 0),233,12,95,0.407725321888
CHN_SMK_358_B1_1.txt,(1, 2),216,15,96,0.444444444444
CHN_SMK_359_B1_1.txt,(0, 1),203,10,80,0.394088669951
CHN_SMK_360_B1_1.txt,(1, 0),217,12,67,0.308755760369
CHN_SMK_361_B1_1.txt,(2, 0),230,15,96,0.417391304348
CHN_SMK_362_B1_2.txt,(0, 0),219,16,85,0.388127853881
CHN_SMK_363_B1_2.txt,(0, 4),253,15,98,0.387351778656
CHN_SMK_364_B1_2.txt,(0, 1),330,19,141,0.427272727273
CHN_SMK_365_B1_1.txt,(0, 0),201,13,66,0.328358208955
CHN_SMK_366_B1_2.txt,(0, 0),230,14,91,0.395652173913
CHN_SMK_367_B1_1.txt,(0, 0),232,9,89,0.383620689655
CHN_SMK_368_B1_1.txt,(0, 1),185,13,76,0.410810810811
CHN_SMK_369_B1_2.txt,(0, 0),230,15,81,0.352173913043
CHN_SMK_370_B1_2.txt,(0, 0),313,16,131,0.418530351438
CHN_SMK_371_B1_2.txt,(0, 0),195,10,63,0.323076923077
CHN_SMK_372_B1_2.txt,(0, 0),204,12,78,0.382352941176
CHN_SMK_373_B1_1.txt,(0, 0),229,12,83,0.362445414847
CHN_SMK_374_B1_2.txt,(0, 0),208,16,87,0.418269230769
CHN_SMK_375_A2_0.txt,(0, 1),238,14,100,0.420168067227
CHN_SMK_376_B1_1.txt,(0, 0),193,13,79,0.40932642487
CHN_SMK_377_B1_2.txt,(0, 0),228,16,87,0.381578947368
CHN_SMK_378_B1_2.txt,(2, 3),195,10,83,0.425641025641
CHN_SMK_379_B1_2.txt,(1, 11),262,18,109,0.416030534351
CHN_SMK_380_B1_2.txt,(0, 0),260,16,107,0.411538461538
CHN_SMK_381_B1_1.txt,(0, 0),231,15,101,0.437229437229
CHN_SMK_382_B1_2.txt,(0, 0),200,12,68,0.34
CHN_SMK_383_B1_1.txt,(0, 0),181,22,74,0.408839779006
CHN_SMK_384_B1_1.txt,(0, 0),259,11,108,0.416988416988
CHN_SMK_385_B1_2.txt,(5, 21),321,26,123,0.383177570093
CHN_SMK_386_A2_0.txt,(1, 4),235,13,92,0.391489361702
CHN_SMK_387_B1_1.txt,(0, 0),225,15,81,0.36
CHN_SMK_388_B1_2.txt,(0, 0),204,15,84,0.411764705882
CHN_SMK_389_B1_1.txt,(0, 3),244,17,98,0.401639344262
CHN_SMK_390_B1_2.txt,(1, 0),233,10,90,0.386266094421
CHN_SMK_391_A2_0.txt,(1, 8),201,12,83,0.412935323383
CHN_SMK_392_B1_2.txt,(0, 0),214,17,93,0.434579439252
CHN_SMK_393_B1_1.txt,(0, 4),206,14,90,0.436893203883
CHN_SMK_394_B1_2.txt,(1, 5),266,15,99,0.372180451128
CHN_SMK_395_B1_1.txt,(0, 8),322,26,142,0.44099378882
CHN_SMK_396_B1_1.txt,(2, 9),220,15,84,0.381818181818
CHN_SMK_397_B1_1.txt,(0, 9),324,16,116,0.358024691358
CHN_SMK_398_B1_2.txt,(1, 1),217,15,81,0.373271889401
CHN_SMK_399_B1_1.txt,(0, 1),225,10,78,0.346666666667
CHN_SMK_400_B1_1.txt,(1, 0),229,13,92,0.401746724891
